Subject                   Group                        Difference
1 			A 			5
2			A			21
3			A			24
4			A			15
5			A			9
6			A			4			
7			A			-23		           
 8			A			20 			
 9			A 			24			
10			A			38			
1    			B			27			
2			B			18			
3			B			15			
4			B			18 			
5			B			23			
6			B			6			
7			B			-1			
8			B			32			
9			B			39			
10			B			40			
1    			C			10			
2			C			1			
3			C			5			
4			C			-1 			
5			C			6			
6			C			-14			
7			C			-6			
8			C			-13			
9			C			28			
10			C			25	
